Time,qt,R,final pH,Leaching Mg
5.0,12.01117,17.63996,10.315049,2.626162
10.0,16.487022,23.426023,10.4030695,2.6138346
29.999999999999996,33.402954,45.87103,10.547006,2.5761352
59.99999999999999,43.008114,58.029053,10.592902,2.5238986
119.99999999999999,51.047684,68.05174,10.6672945,2.4326572
180.0,53.786785,71.49057,10.664059,2.4088345
360.0,56.814587,74.916306,10.6584425,2.3988495
600.0,58.06445,75.68853,10.63732,2.6630287
720.0,58.513058,76.02841,10.639878,2.8629534
1440.0,59.120415,76.764084,10.657461,4.470424
